CODE,LISTED.NAME,BOARD.LOT
218,SHENWANHONGYUAN,5000
219,SHUN HO TECH,2000
220,U-PRESID CHINA,1000
221,EASY ONE FIN,20000
222,MIN XIN HOLD,2000
223,SRGL,2000
224,PIONEER GLOBAL,4000
225,POKFULAM,2000
226,LIPPO,1000
227,FIRST SHANGHAI,8000
228,CHINA ENERGY,2000
229,RAYMOND IND,1000
230,MINMETALS LAND,2000
231,PING AN SEC GP,20000
232,AVIC INT'L,2000
233,MY MEDICARE,10000
234,NEW CENTURY GP,8000
235,CHINA STRATEGIC,5000
236,SAN MIGUEL HK,2000
237,SAFETY GODOWN,2000
238,EVERGREEN INT,1000
239,PAK FAH YEOW,2500
240,BUILD KING HOLD,10000
241,ALI HEALTH,2000
242,SHUN TAK HOLD,2000
243,QPL INT'L,9000
244,SINCERE,1000
245,CN MINSHENG FIN,10000
246,REALGOLD MINING,500
247,TST PROPERTIES,2000
248,HKC INT'L HOLD,4000
250,SINO-I TECH,10000
251,SEA HOLDINGS,2000
252,SE ASIA PPT,2000
253,SHUN HO RES,2000
254,NUR HOLDINGS,10000
255,LUNG KEE,2000
256,CITYCHAMP,2000
257,CHINA EB INT'L,1000
258,TOMSON GROUP,2000
259,YEEBO (INT'L H),2000
260,AVIC JOY HLDG,10000
261,CCT LAND,80000
262,DESON DEV INT'L,5000
263,GT GROUP HLDG,4000
264,CHANCO INT'L,4000
265,ORIENT VICTORY,10000
266,TIAN TECK LAND,2000
267,CITIC,1000
268,KINGDEE INT'L,2000
269,CRTG,5000
270,GUANGDONG INV,2000
271,DAN FORM HOLD,1000
272,SHUI ON LAND,500
273,MASON FIN,20000
274,C BILLION RES,40000
275,HANNY HOLDINGS,10000
276,MONGOLIA ENERGY,3000
277,TERN PROPERTIES,2000
278,WAH HA REALTY,2000
279,FREEMAN FIN,20000
280,KING FOOK HOLD,2000
281,RIVERA (HOLD),2000
282,NEXT DIGITAL,2000
283,GOLDIN PPT,2000
285,BYD ELECTRONIC,500
286,CS HEALTH,2000
287,WINFAIR INV,2000
288,WH GROUP,500
289,WING ON CO,1000
290,C FORTUNE FIN,2000
291,CHINA RES BEER,2000
292,ASIA STD HOTEL,10000
293,CATHAY PAC AIR,1000
294,YANGTZEKIANG,1000
295,KONG SUN HOLD,25000
296,EMPEROR E HOTEL,5000
297,SINOFERT,2000
298,CHUANG'S CHINA,10000
299,NEW SPORTS,10000
300,KUNMING MACHINE,2000
303,VTECH HOLDINGS,100
305,WULING MOTORS,10000
306,KWOON CHUNG BUS,2000
307,UP ENERGY DEV,2000
308,CHINA TRAVEL HK,2000
309,XH NEWS MEDIA,1000
311,LUEN THAI,1000
312,SHIRBLE STORE,2000
313,RICHLY FIELD,50000
315,SMARTONE TELE,500
316,OOIL,500
317,COMEC,2000
318,VONGROUP,5000
319,CHINA METAL,2000
320,COMPUTIME,2000
321,TEXWINCA HOLD,2000
322,TINGYI,2000
323,MAANSHAN IRON,2000
326,CHINA STAR ENT,10000
327,PAX GLOBAL,1000
328,ALCO HOLDINGS,2000
329,DRAGONITE INT'L,4000
330,ESPRIT HOLDINGS,100
331,FSE ENGINEERING,1000
332,YUANHENG GAS,4000
333,TOP FORM INT'L,2000
334,TCL DISPLAY,8000
335,UPBEST GROUP,2000
336,HUABAO INTL,1000
337,GREENLAND HK,1000
338,SHANGHAI PECHEM,2000
340,CHINA MINING,2000
341,CAFE DE CORAL H,2000
342,NEWOCEAN ENERGY,2000
343,CULTURECOM HOLD,5000
345,VITASOY INT'L,2000
346,YANCHANG PETRO,10000
347,ANGANG STEEL,2000
348,HAIERHEALTHWISE,2000
351,ASIA ENERGY LOG,10000
352,FORTUNE SUN,2000
353,ENERGY INTINV,20000
354,CHINASOFT INT'L,2000
355,CENTURY C INT'L,4000
357,HNA INFRA,1000
358,JIANGXI COPPER,1000
359,HAISHENG JUICE,4000
360,NEW FOCUS AUTO,4000
361,SINO GOLF HOLD,20000
362,C ZENITH CHEM,10000
363,SHANGHAI IND H,1000
364,PING SHAN TEA,4000
365,SUN EAST TECH,2000
366,LUKS GROUP (VN),2000
367,CHUANG'S INT'L,4000
368,SINOTRANS SHIP,500
369,WING TAI PPT,2000
370,CHINA BEST,20000
371,BJ ENT WATER,2000
372,ITC CORPORATION,2000
373,ALLIED GROUP,2000
374,FOUR SEAS MER,2000
375,YGM TRADING,1000
376,REORIENT GROUP,2000
377,HUAJUN HOLD,4000
378,FDG KINETIC,2000
379,EG LEASING,10000
380,SOFTPOWER INT,4000
381,KIU HUNG INT'L,10000
382,WELLING HOLDING,2000
383,CHINA MED&HCARE,10000
384,CHINA GAS HOLD,2000
385,CHINNEY ALLI,10000
386,SINOPEC CORP,2000
387,LEEPORT(HOLD),4000
388,HKEX,100
389,TONTINE WINES,2000
390,CHINA RAILWAY,1000
391,MEI AH ENTER,20000
392,BEIJING ENT,500
393,GLORIOUS SUN,4000
395,SMARTAC GP CH,8000
396,HING LEE (HK),2000
397,JUN YANG FIN,10000
398,ORIENTAL WATCH,2000
399,INNOVATIVE PHAR,5000
400,COGOBUY,1000
401,WANJIA GROUP,5000
402,PEACEMAP HOLD,20000
403,STARLITE HOLD,2000
404,HSIN CHONG GP,2000
406,YAU LEE HOLD,2000
408,YIP'S CHEMICAL,2000
410,SOHO CHINA,500
411,LAM SOON (HK),1000
412,CHINA INNO FIN,6000
413,SC HOLDINGS,8000
416,BANKOFJINZHOU,1000
417,TSE SUI LUEN,2000
418,FOUNDER HOLD,2000
419,HUAYI TENCENT,10000
420,FOUNTAIN SET,2000
422,VMEP HOLDINGS,1000
423,HKET HOLDINGS,2000
425,MINTH GROUP,2000
426,ONE MEDIA GROUP,2000
430,ORIENTAL EXPL,2000
431,G CHINA FIN,4000
432,PCPD,1000
433,NORTH MINING,10000
434,BOYAA,1000
438,IRICO NEWENERGY,2000
439,KUANGCHI,1000
440,DAH SING,400
442,KTL INT'L,1000
444,SINCEREWATCH HK,10000
445,CHINA FIRE,5000
449,CHIGO HOLDING,2000
450,HUNG HING PRINT,2000
451,GCL NEWENERGY,2000
455,TIANDA PHARMA,2000
456,NEW CITY DEV,20000
458,TRISTATE HOLD,1000
459,MIDLAND IC&I,10000
460,SIHUAN PHARM,1000
462,NATURAL DAIRY,4000
464,KENFORD GROUP,4000
465,FUTONG TECH,2000
467,UNITEDENERGY GP,2000
468,GAPACK,1000
469,CAPXON INT'L,4000
471,CMMB VISION,4000
472,NEW SILKROAD,10000
474,HAO TIAN DEV,6000
475,ZHONG FA ZHAN,2000
476,CH DYNAMICS,10000
477,AUPU GROUP HLDG,4000
479,CIL HOLDINGS,20000
480,HKR INT'L,800
482,SANDMARTIN INTL,2000
483,BAUHAUS INT'L,2000
484,FORGAME,100
485,SHIHUA DEV,20000
486,RUSAL,1000
487,SUCCESSUNIVERSE,4000
488,LAI SUN DEV,15000
489,DONGFENG GROUP,2000
491,SEE CORPORATION,20000
493,GOME,1000
494,LI & FUNG,2000
495,PALADIN,5000
496,KASEN,1000
497,CSI PROPERTIES,10000
498,PYI CORP,2000
499,QINGDAO HLDGS,2000
500,FRONTIER SER,1000
503,LANSEN PHARMA,1000
505,XINGYE COPPER,1000
506,CHINA FOODS,2000
508,DINGYI GP INV,5000
509,SUNSHINE,5000
510,CASH FIN SER GP,6000
511,TVB,100
512,CHINAGRANDPHARM,4000
513,CONTINENTAL H,10000
515,TC ORI LIGHT,2000
517,COSCO INTL HOLD,2000
518,TUNGTEX (HOLD),2000
519,APPLIED DEV,5000
520,XIABUXIABU,500
521,HNA INT'L INV,10000
522,ASM PACIFIC,100
524,E-KONG GROUP,10000
525,GUANGSHEN RAIL,2000
526,LISI GP HOLD,2000
527,RUIFENG RENEW,4000
528,KINGDOM HOLDING,2000
529,SIS INT'L,2000
530,GOLDIN FIN HOLD,2000
531,SAMSON HOLDING,1000
532,WKK INTL (HOLD),2000
533,GOLDLION HOLD,1000
535,GEMDALE PPT,2000
536,TRADELINK,2000
538,AJISEN (CHINA),1000
539,VICTORY CITY,2000
540,SPEEDY GLOBAL,4000
542,CENERIC,8000
543,PACIFIC ONLINE,1000
544,DAIDO GROUP,20000
546,FUFENG GROUP,1000
547,DIGITAL DOMAIN,10000
548,SHENZHENEXPRESS,2000
549,QIFENG FIBER,2000
550,CINMEDIA,2000
551,YUE YUEN IND,500
552,CHINACOMSERVICE,2000
553,NANJING PANDA,2000
554,HANS ENERGY,2000
555,REXLOT HOLDINGS,25000
556,PAN ASIA ENVIRO,2000
557,CITY E-SOLUTION,2000
558,LK TECH,2500
559,DETAI NEWENERGY,10000
560,CHU KONG SHIP,2000
563,SH IND URBAN,2000
564,ZMJ,200
565,ART TEXTILE,5000
566,HANERGY TFP,2000
567,DAISHOMICROLINE,2000
568,SHANDONG MOLONG,400
569,CH AUTOMATION,1000
570,TRAD CHI MED,2000
571,ESUN HOLDINGS,2000
572,CENT WEALTH FIN,4000
573,TAO HEUNG HLDGS,1000
574,PASHUN PHARMA,2000
575,REGENT PACIFIC,10000
576,ZHEJIANGEXPRESS,2000
577,THE 13 HOLDINGS,500
578,ROSAN RES,10000
579,JNCEC,2000
580,SUN.KING ELEC,2000
581,CHINA ORIENTAL,2000
582,LANDING INTL,5000
583,ARMADA HLDGS,2000
585,IMAGI INT'L-NEW,8000
586,CONCH VENTURE,500
587,HUA HAN HEALTH,4000
588,BEIJING N STAR,2000
589,PORTICO INT'L,500
590,LUK FOOK HOLD,1000
591,C HIGHPRECISION,1000
592,BOSSINI INT'L,2000
593,SKYOCEAN INTL,500
595,AV CONCEPT HOLD,2000
596,INSPUR INT'L,2000
598,SINOTRANS,1000
599,E. BON HOLDINGS,4000
600,CHINA INFRA INV,2000
601,GROUP SENSE,10000
602,JIAHUA STORES H,2500
603,CHINA OIL & GAS,20000
604,SHENZHEN INVEST,2000
605,C FIN SERVICES,2000
606,CHINA AGRI,1000
607,FULLSHARE,2500
608,HIGH FASHION,2000
609,TIANDE CHEMICAL,4000
610,WAI KEE HOLD,2000
611,CNE TECH CORP,2000
613,YUGANG INT'L,2000
616,EMINENCE ENT,5000
617,PALIBURG HOLD,2000
618,PKU RESOURCES,2000
619,SOUTH CHINA FIN,50000
620,DTXS SILK ROAD,2000
621,TAUNG GOLD,10000
622,ENERCHINA HOLD,3000
623,SINOMEDIA,1000
626,PUBLIC FIN HOLD,2000
627,U-RIGHT INT'L,20000
628,SINO CREDIT,2000
629,YUE DA MINING,1000
